s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99,s100,s101,s102,s103,s104,s105,s106,s107,s108,s109,s110,s111,s112,s113,s114,s115,s116,s117,s118,s119,s120,s121,s122,s123,s124,s125,s126,s127,s128,s129,s130,s131,s132,s133,s134,s135,s136,s137,s138,s139,s140,s141,s142,s143,s144,s145,s146,s147,s148,s149,s150,s151,s152,s153,s154,s155,s156,s157,s158,s159,s160,s161,s162,s163,s164,s165,s166,s167,s168,s169,s170,s171,s172,s173,s174,s175,s176,s177,s178,s179,s180,s181,s182,s183,s184,s185,s186,s187,s188,s189,s190,s191,s192,s193,s194,s195,s196,s197,s198,s199,s200,s201,s202,s203,s204,s205,s206,s207,s208,s209,s210,s211,s212,s213,s214,s215,s216,s217,s218,s219,s220,s221,s222,s223,s224,s225,s226,s227,s228,s229,s230,s231,s232,s233,s234,s235,s236,s237,s238,s239,s240,s241,s242,s243,s244,s245,s246,s247,s248,s249,s250,s251,s252,s253,s254,s255,s256,s257,s258,s259,infere,familly
0,2,1,0,2,3,2,2,1,3,1,0,3,3,1,0,1,1,2,0,1,3,3,0,3,2,3,1,0,2,1,1,1,1,3,3,1,2,2,2,0,1,2,3,2,1,3,0,1,0,3,0,0,0,0,3,3,1,2,0,0,3,2,0,1,2,1,0,1,0,0,1,0,0,2,2,3,2,1,1,3,2,1,1,2,3,1,1,0,0,1,3,3,1,3,2,0,3,0,3,1,0,2,1,2,3,0,2,1,3,0,3,0,3,1,0,0,1,1,0,3,1,2,2,2,1,2,0,0,0,1,2,3,1,2,0,2,3,3,0,2,2,1,0,1,1,2,1,1,3,3,0,3,3,1,1,0,3,0,0,1,0,0,0,2,1,1,2,2,2,3,0,0,3,3,1,1,1,2,2,1,3,3,3,2,3,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,AFOW01000033.1/310779-310592,0
1,2,3,2,2,1,3,1,0,3,3,1,0,1,1,3,3,1,3,3,0,3,2,3,1,0,2,1,1,1,1,3,3,0,2,2,2,0,1,2,1,2,1,3,0,1,0,3,0,0,0,1,3,3,1,2,0,0,3,2,0,1,2,1,0,1,0,0,1,0,0,2,2,3,2,1,1,3,2,1,1,2,3,1,1,0,0,1,3,3,1,3,2,0,3,0,0,3,0,2,1,2,3,0,2,1,3,3,3,0,3,1,0,0,1,1,3,1,1,2,2,2,1,2,0,0,0,1,2,3,1,2,0,2,3,3,0,2,2,1,0,1,1,2,1,1,3,3,0,3,3,1,1,0,3,0,0,1,0,0,0,2,1,1,2,2,2,3,3,3,0,2,1,1,1,3,3,3,0,2,1,1,1,2,2,1,3,3,3,2,3,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,AFCP01001367.1/2028-1836,0
2,2,1,0,2,3,2,2,1,3,1,0,3,3,1,2,1,1,2,0,1,3,3,0,3,2,3,1,0,2,1,1,1,1,3,3,1,2,2,2,0,1,2,3,2,1,3,0,1,0,3,0,0,0,0,3,3,1,2,0,0,3,2,0,1,2,1,0,1,0,0,1,0,0,2,2,3,2,1,1,3,2,1,1,2,3,1,1,0,0,1,3,3,1,3,2,0,3,0,3,1,0,2,1,2,3,0,2,1,3,0,3,0,3,1,0,0,1,1,0,3,1,2,2,2,1,2,0,0,0,1,2,3,1,2,0,2,3,3,0,2,2,1,0,1,1,2,1,1,3,3,0,3,3,1,1,0,3,0,0,1,0,0,0,2,1,1,2,2,2,3,0,0,3,3,1,1,1,2,2,1,3,3,3,2,3,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,ADUF01000189.1/13241-13054,0
3,2,3,0,2,0,3,2,1,3,1,0,3,3,1,1,0,3,1,3,1,3,3,0,3,2,3,3,1,2,1,1,3,3,0,2,3,2,1,1,3,1,0,3,0,0,0,1,3,1,0,2,2,0,0,3,2,0,3,2,1,0,2,0,2,1,1,0,3,3,3,0,1,2,2,3,2,1,3,3,0,3,1,2,3,1,1,0,1,3,2,0,1,0,2,0,3,2,3,1,2,1,3,3,1,2,2,1,1,3,1,0,3,1,0,2,0,1,0,1,1,0,3,2,2,2,1,0,3,0,0,1,2,3,3,2,0,2,3,2,0,0,2,1,0,1,1,0,0,0,3,0,3,2,3,3,2,3,1,3,3,0,1,0,2,0,1,1,3,2,3,3,3,3,0,0,1,2,1,1,3,2,1,3,3,3,3,0,3,0,2,1,0,2,2,1,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,AGSY01000152.1/456-658,0
4,2,3,0,2,0,3,2,1,3,1,0,3,3,1,1,0,1,3,1,1,3,3,0,3,2,0,1,0,2,1,0,3,0,3,2,0,1,3,3,1,0,3,0,0,0,1,1,3,0,2,2,0,0,3,2,0,3,2,1,0,2,0,2,1,1,2,0,3,3,0,3,1,2,2,3,2,1,1,3,0,1,2,3,1,1,0,1,2,3,3,0,3,1,2,0,3,2,0,0,0,1,0,1,1,0,3,3,1,0,3,1,0,1,1,0,0,1,0,2,2,0,1,2,0,0,0,1,2,3,3,2,0,2,3,2,0,2,2,1,0,1,1,0,3,1,1,2,3,1,3,2,3,0,2,0,1,1,3,2,0,3,3,2,3,0,3,0,3,3,3,3,0,3,2,1,0,1,1,3,2,3,0,3,3,3,3,3,3,0,0,3,0,1,2,2,2,3,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,AM942759.1/3649342-3649546,0
5,2,3,0,2,0,3,2,1,3,1,0,3,3,1,1,0,3,1,3,1,3,3,0,3,2,3,3,1,2,1,1,3,3,0,2,3,2,1,1,3,1,0,3,0,0,0,1,3,1,1,2,2,0,0,3,2,0,1,2,1,0,2,0,2,1,1,2,3,3,3,0,1,2,2,3,2,1,3,3,0,3,1,2,3,1,1,0,1,3,2,0,1,0,2,0,3,2,3,1,2,1,3,3,0,3,2,1,1,3,1,0,3,1,0,2,0,1,0,1,1,0,3,2,2,0,1,0,1,0,0,1,2,3,3,2,0,2,3,2,0,0,2,1,0,1,1,1,0,1,3,3,2,3,3,2,3,1,0,3,0,1,0,2,0,1,1,3,2,3,3,3,3,0,0,1,2,1,1,3,2,1,3,1,1,2,3,0,0,3,0,0,2,0,2,1,0,2,2,1,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,CP002211.1/4308521-4308727,0
6,2,3,2,2,1,3,1,0,3,3,1,0,1,1,2,0,1,3,3,0,3,2,3,1,0,2,1,1,1,1,3,3,1,2,2,2,0,1,2,3,2,1,3,0,1,0,3,0,0,0,0,3,3,1,2,0,0,3,2,0,1,2,1,0,1,0,0,1,0,0,2,2,3,2,1,1,3,2,1,1,2,3,1,1,0,0,1,3,3,1,3,2,0,3,0,3,1,0,2,1,2,3,0,2,1,3,0,3,0,3,1,0,0,1,1,0,3,1,2,2,2,1,2,0,0,0,1,2,3,1,2,0,2,3,3,0,2,2,1,0,1,1,2,1,1,3,3,0,3,3,1,1,0,3,0,0,1,0,0,0,2,1,1,2,2,2,3,0,0,3,3,1,1,1,2,2,1,3,3,3,2,3,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,CP001164.1/3515822-3515638,0
7,2,1,0,2,3,2,2,1,3,1,0,3,3,1,0,1,1,2,0,1,3,3,0,3,2,3,1,0,2,1,1,1,1,3,3,1,2,2,2,0,1,2,3,2,1,3,0,1,0,3,0,0,0,0,3,3,1,2,0,0,3,2,0,1,2,1,0,1,0,0,1,0,0,2,2,3,2,1,1,3,2,1,1,2,3,1,1,0,0,1,3,3,1,3,2,0,3,0,3,1,0,2,1,2,3,0,2,1,3,0,3,0,3,1,0,0,1,1,0,3,1,2,2,2,1,2,0,0,0,1,2,3,1,2,0,2,3,3,0,2,2,1,0,1,1,2,1,1,3,3,0,3,3,1,1,0,3,0,0,1,0,0,0,2,1,1,2,2,2,3,0,0,3,3,1,1,1,2,2,1,3,3,3,2,3,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,AEZN01000046.1/1414835-1414648,0
8,2,3,0,2,0,3,2,1,3,1,0,3,3,1,1,0,3,1,3,1,3,3,0,3,2,3,3,1,2,1,1,3,3,0,2,3,2,1,1,3,1,0,3,0,0,0,1,3,1,1,2,2,0,0,3,2,0,1,2,1,0,2,0,2,1,1,2,3,3,3,0,1,2,2,3,2,1,3,3,0,3,1,2,3,1,1,0,1,3,2,0,1,0,2,0,3,2,3,1,2,1,3,3,0,3,2,1,1,3,1,0,3,1,0,2,0,1,0,1,1,0,3,2,2,0,1,0,1,0,0,1,2,3,3,2,0,2,3,2,0,0,2,1,0,1,1,1,0,1,3,3,2,3,3,2,3,1,0,3,0,1,0,2,0,1,1,3,2,3,3,3,3,0,0,1,2,1,1,3,2,1,3,1,1,2,3,0,0,3,0,0,2,0,2,1,0,2,2,1,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,AP009240.1/4238957-4239163,0
9,2,3,2,2,1,3,1,0,3,3,1,0,1,1,2,0,1,3,3,0,3,2,3,1,0,2,1,1,1,1,3,3,1,2,2,2,0,1,2,3,2,1,3,0,1,0,3,0,0,0,0,3,3,1,2,0,0,3,2,0,1,2,1,0,1,0,0,1,0,0,2,2,3,2,1,1,3,2,1,1,2,3,1,1,0,0,1,3,3,1,3,2,0,3,0,3,1,0,2,1,2,3,0,2,1,3,0,3,0,3,1,0,0,1,1,0,3,1,2,2,2,1,2,0,0,0,1,2,3,1,2,0,2,3,3,0,2,2,1,0,1,1,2,1,1,3,3,0,3,3,1,1,0,3,0,0,1,0,0,0,2,1,1,2,2,2,3,0,0,3,3,1,1,1,2,2,1,3,3,3,2,3,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,AERQ01000020.1/161843-161659,0
