('CP000880.1/305505-305689', 'CP000880.1/305504-305651')
('CP001891.1/1243453-1243639', 'CP001891.1/1243452-1243599')
('ABAN01000002.1/51522-51706', 'ABAN01000002.1/51521-51668')
('AELA01000016.1/37184-37368', 'AELA01000016.1/37183-37330')
('ADUX01000856.1/34511-34695', 'ADUX01000856.1/34510-34657')
('ADUD01000175.1/12969-13153', 'ADUD01000175.1/12968-13115')
('AETL01000081.1/40307-40456', 'AETL01000081.1/40306-40453')
('AETB01000017.1/40322-40506', 'AETB01000017.1/40321-40468')
('ADVC01000655.1/34553-34737', 'ADVC01000655.1/34552-34699')
('ABEW01000008.1/50137-50321', 'ABEW01000008.1/50136-50283')
('AFQK01000017.1/32290-32476', 'AFQK01000017.1/32289-32436')
('AGTL01000007.1/34637-34821', 'AGTL01000007.1/34636-34783')
('ACXA01000001.1/32238-32424', 'ACXA01000001.1/32237-32384')
('AETT01000008.1/40318-40502', 'AETT01000008.1/40317-40464')
('ABEH02000006.1/207958-208142', 'ABEH02000006.1/207957-208104')
('AEME01000001.1/2998160-2998344', 'AEME01000001.1/2998159-2998306')
('AENX01000076.1/9680-9874', 'AENX01000076.1/9679-9838')
('AESM01000020.1/40322-40506', 'AESM01000020.1/40321-40468')
('CP000946.1/1221584-1221768', 'CP000946.1/1221583-1221730')
('AGTG01000020.1/34582-34766', 'AGTG01000020.1/34581-34728')
('AESV01000046.1/40319-40503', 'AESV01000046.1/40318-40465')
('ADTZ01000465.1/12965-13149', 'ADTZ01000465.1/12964-13111')
('CAAS01000222.1/1358-1542', 'CAAS01000222.1/1357-1504')
('ABFG01000004.1/33314-33498', 'ABFG01000004.1/33313-33460')
('AE014613.1/332915-333099', 'AE014613.1/332914-333061')
('AERV01000022.1/51005-51189', 'AERV01000022.1/51004-51151')
('ADGK01000038.1/24314-24476', 'ADGK01000038.1/24313-24471')
('AFWW01000010.1/17751-17963', 'AFWW01000010.1/17750-17920')
('AEHU01000035.1/35291-35475', 'AEHU01000035.1/35290-35437')
('ADTJ01000260.1/23032-23216', 'ADTJ01000260.1/23031-23178')
('CP000822.1/222309-222493', 'CP000822.1/222308-222455')
('AEZR01000022.1/38584-38768', 'AEZR01000022.1/38583-38730')
('AETO01000016.1/40319-40503', 'AETO01000016.1/40318-40465')
('CAAZ01000076.1/40167-40351', 'CAAZ01000076.1/40166-40313')
('FP236842.1/1169584-1169807', 'FP236842.1/1169583-1169743')
